"","GSM4103849","GSM4103850","GSM4103851","GSM4103852","GSM4103853","GSM4103854","GSM4103855","GSM4103856","GSM4103857","GSM4103858","GSM4103859","GSM4103860","GSM4103861","GSM4103862","GSM4103863","GSM4103864","GSM4103865","GSM4103866","GSM4103867","GSM4103868","GSM4103869","GSM4103870","GSM4103871","GSM4103872","GSM4103873","GSM4103874","GSM4103875","GSM4103876","GSM4103877","GSM4103878","GSM4103879","GSM4103880","GSM4103881","GSM4103882","GSM4103883","GSM4103884"
"GSM4103849",1,0.97750199893014,0.978861981575472,0.972542979847439,0.956721346345417,0.978092061302564,0.976769595309337,0.979344061813179,0.97620223089058,0.975108936346521,0.971107195032394,0.951012464726637,0.962587773307426,0.973485096545518,0.974063253983464,0.972353845442419,0.980397265517858,0.97943056563611,0.973558075195033,0.979333080148728,0.970804125363972,0.976993285432635,0.971688730418018,0.973748798081405,0.969352845085331,0.96473040177635,0.974983042001007,0.964909365924143,0.970361573278659,0.96753156786544,0.958638201873004,0.964617801972246,0.973578335391748,0.974670564194134,0.974291199666463,0.974082353875227
"GSM4103850",0.97750199893014,1,0.985914808799593,0.968645376500539,0.958221768969802,0.975614963138735,0.978225982406967,0.976099931361334,0.981126769217033,0.979243323516898,0.972861576311278,0.941912823727813,0.968417122909146,0.985216534891097,0.980478432434014,0.974309092068375,0.984058500742226,0.977959275438213,0.98380537554636,0.982704794050282,0.970533895695375,0.977197325409173,0.974974437960717,0.979887412877191,0.966616240065672,0.968319852328958,0.98265985191018,0.966233427328525,0.97855212650803,0.976348053159215,0.959177749066068,0.9658627665381,0.98393345583216,0.976509999855148,0.976708890480015,0.985131943749969
"GSM4103851",0.978861981575472,0.985914808799593,1,0.974688015553748,0.961054055078252,0.977049846867779,0.980147150993484,0.98032989252012,0.976257095428163,0.978985760980814,0.97384459268898,0.946769875593129,0.971121283958918,0.988099362418199,0.979009276238622,0.978365633889843,0.983947691901657,0.980756047370907,0.980823774185803,0.985977078730814,0.973689929641328,0.982377128633904,0.976785133012852,0.977134773343205,0.971592602958466,0.971084031774997,0.983392495850516,0.957716336564818,0.976658345310434,0.972260712823891,0.959291038524891,0.965140854265992,0.979730800666378,0.969894563447407,0.975939991928864,0.981149097408502
"GSM4103852",0.972542979847439,0.968645376500539,0.974688015553748,1,0.968422117649035,0.981265901017819,0.98203041340174,0.980176079158546,0.970860038916383,0.974440908486917,0.97907169411248,0.967535910455759,0.969441608044956,0.964353486680974,0.970755212874721,0.978891998101324,0.968430562948141,0.973189131042709,0.956049568095923,0.972788191217783,0.975399032693715,0.978468725991066,0.968132999959892,0.964419941534979,0.978651058034864,0.974834704396927,0.968298511524562,0.949443825939447,0.953812993291915,0.954511789419557,0.972277698732096,0.967446128141679,0.961237540815926,0.959251124155393,0.970387508246595,0.963487291020941
"GSM4103853",0.956721346345417,0.958221768969802,0.961054055078252,0.968422117649035,1,0.965341789430951,0.969785712057336,0.968759778232828,0.961217823865647,0.967795760905222,0.967622557723604,0.96451997944119,0.973747786944647,0.954390864774617,0.96314601620252,0.966741899528912,0.958604864986879,0.961754788011623,0.939652605832008,0.961889056698859,0.962962398210214,0.966068429078147,0.95867390450622,0.954936820867926,0.970817565925021,0.969883648166327,0.956292270504064,0.947823651021629,0.939728212525745,0.950780175709016,0.968920500447816,0.960067720398374,0.949208994388119,0.95095865665652,0.96307295095684,0.949318275997812
"GSM4103854",0.978092061302564,0.975614963138735,0.977049846867779,0.981265901017819,0.965341789430951,1,0.985417128438929,0.983300760878752,0.982379949177909,0.978880670957491,0.981275781689704,0.963153292369887,0.966761821137672,0.970652229296808,0.977676579511503,0.977950473471991,0.977233819974966,0.972165159197624,0.967365037000596,0.973871717656805,0.973810763282878,0.976873813479174,0.973665269501158,0.97298264259742,0.976730291983024,0.974486552162996,0.976696544339607,0.963245519546505,0.967960893448084,0.966488039867616,0.969357894825038,0.970899499297704,0.972108572542832,0.9700025987076,0.975321791246487,0.973083311271778
"GSM4103855",0.976769595309337,0.978225982406967,0.980147150993484,0.98203041340174,0.969785712057336,0.985417128438929,1,0.981613218635936,0.980462033044179,0.981652227257427,0.982459038428684,0.964522671676104,0.970945500562129,0.977040473246317,0.980224224638645,0.979897321450624,0.978338701917829,0.974970098302871,0.969098711578829,0.978851762269763,0.975142650730962,0.97775585532313,0.973678326073271,0.975304441797745,0.97767164246342,0.979776776028001,0.979289778118813,0.964073922933694,0.969901739575331,0.968596084770305,0.973457159267116,0.971462637020437,0.974073080056831,0.970342906428738,0.97825030552145,0.974456836077964
"GSM4103856",0.979344061813179,0.976099931361334,0.98032989252012,0.980176079158546,0.968759778232828,0.983300760878752,0.981613218635936,1,0.978448805257459,0.979887940361278,0.977946011254999,0.962786394783622,0.973636057107793,0.972487846144635,0.977254871356335,0.980319336319652,0.979388386390098,0.975743245902832,0.965942829598381,0.977053600174917,0.975552019920014,0.980269360987743,0.973663705577054,0.970604458205564,0.97875288941391,0.970715556874642,0.973348880308703,0.958673041223204,0.963033573693234,0.96420439028183,0.966297041051594,0.96758960920988,0.968349171363098,0.967350519354029,0.974106973705085,0.971715767925422
"GSM4103857",0.97620223089058,0.981126769217033,0.976257095428163,0.970860038916383,0.961217823865647,0.982379949177909,0.980462033044179,0.978448805257459,1,0.979825313000339,0.976936326166502,0.953697824855705,0.967077640606578,0.974486245119394,0.980859284273281,0.976211144854969,0.979619680735191,0.970168394437882,0.972679466804197,0.973560275328053,0.969590171809444,0.973716666141657,0.975122105806638,0.97758408980293,0.967613391980327,0.96854924136076,0.97824534439568,0.97193888352953,0.972607188267749,0.974039998317439,0.963588499664146,0.972618991391476,0.977341113317898,0.976291692039463,0.974710790540866,0.97913772010726
"GSM4103858",0.975108936346521,0.979243323516898,0.978985760980814,0.974440908486917,0.967795760905222,0.978880670957491,0.981652227257427,0.979887940361278,0.979825313000339,1,0.979426001342746,0.961112567667287,0.975279296253618,0.977431545767729,0.98119421383286,0.981089764979775,0.978635346012983,0.976635168361958,0.970324031924297,0.978231637058684,0.974709612248004,0.979193921442573,0.974126499175191,0.976669327740406,0.974043925876382,0.973727147350812,0.976735576374624,0.96459811791969,0.97035356183658,0.97022308591932,0.968326300079216,0.971699349012339,0.975233767831544,0.969940120027195,0.975229312984297,0.975801955148029
"GSM4103859",0.971107195032394,0.972861576311278,0.97384459268898,0.97907169411248,0.967622557723604,0.981275781689704,0.982459038428684,0.977946011254999,0.976936326166502,0.979426001342746,1,0.969151102163215,0.971412327215279,0.968975011669719,0.978593720300958,0.979339927689939,0.971646572425834,0.97269831319504,0.96225081708277,0.973079828561483,0.976571981368312,0.9765333665575,0.969712945034488,0.97178265052563,0.976700016940711,0.977353123328061,0.974042602278948,0.959673330753136,0.962611328471343,0.962890435175108,0.974617749909953,0.973869337920954,0.968207392314249,0.9658379581423,0.97475278600256,0.9697124650599
"GSM4103860",0.951012464726637,0.941912823727813,0.946769875593129,0.967535910455759,0.96451997944119,0.963153292369887,0.964522671676104,0.962786394783622,0.953697824855705,0.961112567667287,0.969151102163215,1,0.959764771480359,0.936527282794042,0.956330502236337,0.962763641252695,0.945375491893376,0.951672091243283,0.923517449340029,0.950836287041756,0.961627286735157,0.957754487537931,0.94426530309831,0.945467194281096,0.966195888642749,0.966439836546898,0.945298734458509,0.941611007417158,0.927044121485958,0.934896104005293,0.970091586941787,0.957724516353077,0.93282217105198,0.94115570509716,0.955111891656203,0.936762776524541
"GSM4103861",0.962587773307426,0.968417122909146,0.971121283958918,0.969441608044956,0.973747786944647,0.966761821137672,0.970945500562129,0.973636057107793,0.967077640606578,0.975279296253618,0.971412327215279,0.959764771480359,1,0.967279806094694,0.971770166820901,0.976799124907216,0.967606466873327,0.969600800520643,0.954496369036556,0.968709572525816,0.969532243373758,0.975403807618221,0.968617092676314,0.963840722074611,0.973274057488621,0.970531718589811,0.963481924792233,0.952702433392112,0.951083988585582,0.96067741622471,0.967686189013956,0.965009104538839,0.961178093905301,0.958546634899438,0.968097976167371,0.962352147044977
